,period,num_topics,perplexity,coherence_u
90,2007.0,6.0,-13.387240137373258,-16.44166890528795
91,2007.0,7.0,-13.834666561889467,-17.252995178752872
92,2007.0,8.0,-14.267040142456041,-19.04495557528311
93,2007.0,9.0,-14.702439968117284,-19.071482730260804
94,2007.0,10.0,-15.118920704886518,-19.31466797984056
95,2007.0,11.0,-15.498776440898295,-19.171205580939368
96,2007.0,12.0,-15.820984075178558,-18.35148969799339
97,2007.0,13.0,-16.287103889512835,-19.87479323422859
98,2007.0,14.0,-16.687261458892205,-19.552658012964855
99,2008.0,4.0,-12.374987969320586,-10.817108468234695
100,2008.0,5.0,-12.838871034609708,-15.778026193199413
101,2008.0,6.0,-13.304679777637167,-16.30454688106824
102,2008.0,7.0,-13.74328370477381,-18.039421058066505
103,2008.0,8.0,-14.150853310642253,-18.80956014347881
104,2008.0,9.0,-14.564478985298189,-18.79910351962911
105,2008.0,10.0,-14.9382434572249,-19.24443298566393
106,2008.0,11.0,-15.339266364263098,-19.857086779790937
107,2008.0,12.0,-15.71501705491917,-19.67978121317908
108,2008.0,13.0,-16.06061256494938,-19.749154574370017
109,2008.0,14.0,-16.43485793892772,-19.26966692899879
110,2008.0,15.0,-16.835526213917248,-20.17619166653001
111,2008.0,16.0,-17.162870292398708,-19.361873364837418
112,2008.0,17.0,-17.45739290376122,-20.1857265184288
113,2009.0,4.0,-12.405422913233691,-9.95716074924886
114,2009.0,5.0,-12.872942261598801,-15.398805429725503
115,2009.0,6.0,-13.340962800920215,-15.157848393705109
116,2009.0,7.0,-13.765188493309143,-17.247186036553362
117,2009.0,8.0,-14.197172487161922,-17.82000450511963
118,2009.0,9.0,-14.602672157720688,-18.563309893776186
119,2009.0,10.0,-15.025692543543691,-18.85666279837931
120,2009.0,11.0,-15.393955917389121,-19.40547390987097
121,2009.0,12.0,-15.768059088501452,-19.341288551489935
122,2009.0,13.0,-16.085515839403982,-19.01853075749313
123,2009.0,14.0,-16.544113553568362,-19.423125299100512
124,2009.0,15.0,-16.9025556517589,-19.2672143264165
125,2010.0,4.0,-12.408500471917936,-10.499416815676193
